cg16867657,cg14361627,cg07553761,cg24079702,cg19283806,Age
0.6511944,0.2326429,0.302952,0.4263265,0.2415119,67
0.7510902,0.2634336,0.4102727,0.4834946,0.1420469,89
0.6720775,0.2376333,0.350735,0.4817202,0.2475643,66
0.6844807,0.2437681,0.3695829,0.43553,0.2060706,64
0.6645727,0.2351956,0.3392363,0.3899761,0.1853702,62
0.8284963,0.2361522,0.3943104,0.4528512,0.1802745,87
0.7150636,0.2197271,0.3715856,0.4791637,0.2274863,73
0.7319633,0.2655961,0.306547,0.4517472,0.1627596,75
0.7315454,0.2683707,0.379767,0.4378527,0.1904502,73
0.7523077,0.1761251,0.4214483,0.4823279,0.2942425,83
0.796961,0.2629844,0.4095272,0.392451,0.1438437,82
0.6105281,0.1999652,0.2960206,0.3377854,0.3351575,48
0.7206269,0.2594464,0.386797,0.4676838,0.1876424,77
0.6277769,0.2224782,0.3309783,0.3435608,0.3651802,54
0.6553519,0.2802933,0.3085403,0.4390797,0.2066788,63
0.6732372,0.2708641,0.3475003,0.4214066,0.2084566,71
0.6886716,0.2355697,0.3336255,0.453008,0.2684322,68
0.7444009,0.3165603,0.3506156,0.4628171,0.1786236,80
0.7836949,0.2224045,0.3764239,0.5129567,0.1723695,92
0.6494253,0.1728605,0.3324445,0.3912788,0.2666046,60
0.7413704,0.3093127,0.3745149,0.5006171,0.4012282,79
0.6658021,0.2014908,0.3211297,0.4232203,0.1795878,68
0.8472735,0.2623883,0.463129,0.5203891,0.1348882,93
0.7764669,0.2057757,0.2655459,0.5340938,0.1279079,84
0.7130616,0.2534415,0.3567072,0.509299,0.2563829,74
0.7336591,0.2473073,0.2802218,0.3746972,0.1552036,74
0.6892684,0.3095438,0.3832316,0.4419091,0.2519839,76
0.7548083,0.1320883,0.3251331,0.2589767,0.2079253,56
0.7295246,0.2370628,0.3290082,0.4669138,0.2091386,72
0.7469714,0.2584126,0.4102198,0.4917114,0.2353408,75
0.7554666,0.2514463,0.2813298,0.397862,0.1301612,79
0.9451751,0.1182151,0.5442504,0.4838102,0.05514234,73
0.7484966,0.2464159,0.4187661,0.4476575,0.1005931,82
0.744858,0.2382656,0.3324459,0.4723028,0.197598,74
0.7839726,0.2428351,0.4902927,0.4865645,0.06096539,79
